Time(us)	TipPos(nm)	CosRef(nm)	Force(nN)	SamplePos(nm)
833.8703333996	11.1431974882	7.1358760300	0.0000000000	-0.0721847710
833.8721667330	11.1052879985	7.0979501562	0.0000000000	-0.0715855046
833.8740000663	11.0670400854	7.0596852226	0.0000000000	-0.0709912132
833.8758333996	11.0284556199	7.0210830571	0.0000000000	-0.0704018556
833.8776667330	10.9895364948	6.9821455035	0.0000000000	-0.0698173907
833.8795000663	10.9502846234	6.9428744220	0.0000000000	-0.0692377779
833.8813333996	10.9107019388	6.9032716884	0.0000000000	-0.0686629770
833.8831667330	10.8707903932	6.8633391946	0.0000000000	-0.0680929480
833.8850000663	10.8305519568	6.8230788480	0.0000000000	-0.0675276513
833.8868333996	10.7899886167	6.7824925718	0.0000000000	-0.0669670476
833.8886667330	10.7491023757	6.7415823048	0.0000000000	-0.0664110979
833.8905000663	10.7078952517	6.7003500012	0.0000000000	-0.0658597637
833.8923333996	10.6663692759	6.6587976306	0.0000000000	-0.0653130065
833.8941667330	10.6245264921	6.6169271780	0.0000000000	-0.0647707884
833.8960000663	10.5823689552	6.5747406433	0.0000000000	-0.0642330717
833.8978333996	10.5398987304	6.5322400419	0.0000000000	-0.0636998191
833.8996667330	10.4971178920	6.4894274040	0.0000000000	-0.0631709934
833.9015000663	10.4540285224	6.4463047745	0.0000000000	-0.0626465580
833.9033333996	10.4106327110	6.4028742135	0.0000000000	-0.0621264763
833.9051667330	10.3669325535	6.3591377955	0.0000000000	-0.0616107123
833.9070000663	10.3229301511	6.3150976098	0.0000000000	-0.0610992301
833.9088333996	10.2786276099	6.2707557601	0.0000000000	-0.0605919941
833.9106667330	10.2340270401	6.2261143646	0.0000000000	-0.0600889691
833.9125000663	10.1891305559	6.1811755558	0.0000000000	-0.0595901201
833.9143333996	10.1439402750	6.1359414802	0.0000000000	-0.0590954125
833.9161667330	10.0984583183	6.0904142988	0.0000000000	-0.0586048119
833.9180000663	10.0526868102	6.0445961862	0.0000000000	-0.0581182842
833.9198333996	10.0066278784	5.9984893311	0.0000000000	-0.0576357955
833.9216667330	9.9602836545	5.9520959360	0.0000000000	-0.0571573124
833.9235000663	9.9136562737	5.9054182171	0.0000000000	-0.0566828016
833.9253333996	9.8667478759	5.8584584040	0.0000000000	-0.0562122301
833.9271667330	9.8195606060	5.8112187401	0.0000000000	-0.0557455652
833.9290000663	9.7720966148	5.7637014818	0.0000000000	-0.0552827744
833.9308333996	9.7243580593	5.7159088990	0.0000000000	-0.0548238257
833.9326667330	9.6763471042	5.6678432746	0.0000000000	-0.0543686871
833.9345000663	9.6280659224	5.6195069048	0.0000000000	-0.0539173270
833.9363333996	9.5795166960	5.5709020985	0.0000000000	-0.0534697141
833.9381667330	9.5307016176	5.5220311775	0.0000000000	-0.0530258171
833.9400000663	9.4816228911	5.4728964762	0.0000000000	-0.0525856053
833.9418333996	9.4322827329	5.4235003419	0.0000000000	-0.0521490480
833.9436667330	9.3826833729	5.3738451340	0.0000000000	-0.0517161150
833.9455000663	9.3328270553	5.3239332245	0.0000000000	-0.0512867761
833.9473333996	9.2827160401	5.2737669976	0.0000000000	-0.0508610016
833.9491667330	9.2323526036	5.2233488498	0.0000000000	-0.0504387617
833.9510000663	9.1817390393	5.1726811895	0.0000000000	-0.0500200272
833.9528333996	9.1308776589	5.1217664369	0.0000000000	-0.0496047690
833.9546667330	9.0797707927	5.0706070242	0.0000000000	-0.0491929582
833.9565000663	9.0284207906	5.0192053953	0.0000000000	-0.0487845661
833.9583333996	8.9768300220	4.9675640054	0.0000000000	-0.0483795645
833.9601667330	8.9250008767	4.9156853215	0.0000000000	-0.0479779251
833.9620000663	8.8729357647	4.8635718217	0.0000000000	-0.0475796201
833.9638333997	8.8206371165	4.8112259955	0.0000000000	-0.0471846217
833.9656667330	8.7681073831	4.7586503432	0.0000000000	-0.0467929026
833.9675000663	8.7153490356	4.7058473764	0.0000000000	-0.0464044354
833.9693333997	8.6623645654	4.6528196175	0.0000000000	-0.0460191933
833.9711667330	8.6091564831	4.5995695994	0.0000000000	-0.0456371493
833.9730000663	8.5557273184	4.5460998659	0.0000000000	-0.0452582770
833.9748333997	8.5020796194	4.4924129711	0.0000000000	-0.0448825501
833.9766667330	8.4482159517	4.4385114796	0.0000000000	-0.0445099424
833.9785000663	8.3941388978	4.3843979662	0.0000000000	-0.0441404280
833.9803333997	8.3398510558	4.3300750159	0.0000000000	-0.0437739812
833.9821667330	8.2853550388	4.2755452235	0.0000000000	-0.0434105767
833.9840000663	8.2306534736	4.2208111939	0.0000000000	-0.0430501891
833.9858333997	8.1757489996	4.1658755417	0.0000000000	-0.0426927933
833.9876667330	8.1206442679	4.1107408910	0.0000000000	-0.0423383646
833.9895000663	8.0653419400	4.0554098756	0.0000000000	-0.0419868783
833.9913333997	8.0098446869	3.9998851385	0.0000000000	-0.0416383100
833.9931667330	7.9541551875	3.9441693322	0.0000000000	-0.0412926354
833.9950000663	7.8982761283	3.8882651180	0.0000000000	-0.0409498306
833.9968333997	7.8422102019	3.8321751665	0.0000000000	-0.0406098717
833.9986667330	7.7859601062	3.7759021570	0.0000000000	-0.0402727351
834.0005000663	7.7295285434	3.7194487775	0.0000000000	-0.0399383973
834.0023333997	7.6729182197	3.6628177249	0.0000000000	-0.0396068351
834.0041667330	7.6161318442	3.6060117042	0.0000000000	-0.0392780255
834.0060000663	7.5591721284	3.5490334290	0.0000000000	-0.0389519457
834.0078333997	7.5020417861	3.4918856212	0.0000000000	-0.0386285729
834.0096667330	7.4447435327	3.4345710105	0.0000000000	-0.0383078847
834.0115000663	7.3872800851	3.3770923348	0.0000000000	-0.0379898588
834.0133333997	7.3296541620	3.3194523399	0.0000000000	-0.0376744731
834.0151667330	7.2718684833	3.2616537791	0.0000000000	-0.0373617057
834.0170000663	7.2139257710	3.2036994133	0.0000000000	-0.0370515348
834.0188333997	7.1558287490	3.1455920109	0.0000000000	-0.0367439389
834.0206667330	7.0975801436	3.0873343478	0.0000000000	-0.0364388966
834.0225000663	7.0391826843	3.0289292067	0.0000000000	-0.0361363868
834.0243333997	6.9806391039	2.9703793776	0.0000000000	-0.0358363883
834.0261667330	6.9219521397	2.9116876573	0.0000000000	-0.0355388803
834.0280000663	6.8631245341	2.8528568496	0.0000000000	-0.0352438423
834.0298333997	6.8041590350	2.7938897646	0.0000000000	-0.0349512536
834.0316667330	6.7450583975	2.7347892191	0.0000000000	-0.0346610939
834.0335000663	6.6858253838	2.6755580363	0.0000000000	-0.0343733430
834.0353333997	6.6264627650	2.6161990456	0.0000000000	-0.0340879811
834.0371667330	6.5669733213	2.5567150825	0.0000000000	-0.0338049881
